Time,Position_White,Speed_White
0,"[100, 100]",[20.  0.]
1,[100.5 100. ],[20.  0.]
2,[101. 100.],[20.  0.]
3,[101.5 100. ],[20.  0.]
4,[102. 100.],[20.  0.]
5,[102.5 100. ],[20.  0.]
6,[103. 100.],[20.  0.]
7,[103.5 100. ],[20.  0.]
8,[104. 100.],[20.  0.]
9,[104.5 100. ],[20.  0.]
10,[105. 100.],[20.  0.]
11,[105.5 100. ],[20.  0.]
12,[106. 100.],[20.  0.]
13,[106.5 100. ],[20.  0.]
14,[107. 100.],[20.  0.]
15,[107.5 100. ],[20.  0.]
16,[108. 100.],[20.  0.]
17,[108.5 100. ],[20.  0.]
18,[109. 100.],[20.  0.]
19,[109.5 100. ],[20.  0.]
20,[110. 100.],[20.  0.]
21,[110.5 100. ],[20.  0.]
22,[111. 100.],[20.  0.]
23,[111.5 100. ],[20.  0.]
24,[112. 100.],[20.  0.]
25,[112.5 100. ],[20.  0.]
26,[113. 100.],[20.  0.]
27,[113.5 100. ],[20.  0.]
28,[114. 100.],[20.  0.]
29,[114.5 100. ],[20.  0.]
30,[115. 100.],[20.  0.]
31,[115.5 100. ],[20.  0.]
32,[116. 100.],[20.  0.]
33,[116.5 100. ],[20.  0.]
34,[117. 100.],[20.  0.]
35,[117.5 100. ],[20.  0.]
36,[118. 100.],[20.  0.]
37,[118.5 100. ],[20.  0.]
38,[119. 100.],[20.  0.]
39,[119.5 100. ],[20.  0.]
40,[120. 100.],[20.  0.]
41,[120.5 100. ],[20.  0.]
42,[121. 100.],[20.  0.]
43,[121.5 100. ],[20.  0.]
44,[122. 100.],[20.  0.]
45,[122.5 100. ],[20.  0.]
46,[123. 100.],[20.  0.]
47,[123.5 100. ],[20.  0.]
48,[124. 100.],[20.  0.]
49,[124.5 100. ],[20.  0.]
50,[125. 100.],[20.  0.]
51,[125.5 100. ],[20.  0.]
52,[126. 100.],[20.  0.]
53,[126.5 100. ],[20.  0.]
54,[127. 100.],[20.  0.]
55,[127.5 100. ],[20.  0.]
56,[128. 100.],[20.  0.]
57,[128.5 100. ],[20.  0.]
58,[129. 100.],[20.  0.]
59,[129.5 100. ],[20.  0.]
60,[130. 100.],[20.  0.]
61,[130.5 100. ],[20.  0.]
62,[131. 100.],[20.  0.]
63,[131.5 100. ],[20.  0.]
64,[132. 100.],[20.  0.]
65,[132.5 100. ],[20.  0.]
66,[133. 100.],[20.  0.]
67,[133.5 100. ],[20.  0.]
68,[134. 100.],[20.  0.]
69,[134.5 100. ],[20.  0.]
70,[135. 100.],[20.  0.]
71,[135.5 100. ],[20.  0.]
72,[136. 100.],[20.  0.]
73,[136.5 100. ],[20.  0.]
74,[137. 100.],[20.  0.]
75,[137.5 100. ],[20.  0.]
76,[138. 100.],[20.  0.]
77,[138.5 100. ],[20.  0.]
78,[139. 100.],[20.  0.]
79,[139.5 100. ],[20.  0.]
80,[140. 100.],[20.  0.]
81,[140.5 100. ],[20.  0.]
82,[141. 100.],[20.  0.]
83,[141.5 100. ],[20.  0.]
